"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0.612295828571087,0.486246627618353,0.550500672082584,0.432262373102713,0.689718561354883,0.555639120635839,0.0603710148691737,0.214571801953314,8
"2",1,0,0.66806784523301,0.472305351781032,0.642729536180731,0.448820514213164,0.695485969732667,0.498383612030671,0.0693230438184762,0.288788488827365,6
"3",1,0,0.638607867927285,0.451323759008892,0.584349058001358,0.418739216328881,0.703974290057989,0.489407406032937,0.0541642994435138,0.181768492360298,7
"4",1,0,0.609287641046854,0.487073900831738,0.547565869777126,0.434319452329301,0.68669171476865,0.554415807874053,0.0556643102831742,0.301703448688584,8
"5",1,0,0.611461553368164,0.492739781749531,0.551484693722551,0.43760426228679,0.686075915993582,0.563771635558342,0.0627787163278333,0.334306662504708,8
"6",2,250,0.593191292341676,0.454852235751437,0.526200549074279,0.405170386365334,0.679727609883703,0.518420812284342,0.0522945078154678,0.211161099744138,8
"7",2,250,0.643043563263382,0.452349166087485,0.588913459446323,0.419788416899184,0.708131630182332,0.490385775996022,0.060482265096755,0.183604992578601,7
"8",2,250,0.60481995150535,0.496146536239553,0.572639649152629,0.454127698766628,0.6408324453657,0.546733899499734,0.0559243111566816,0.19295397769091,7
"9",2,250,0.634639467359874,0.480228268961147,0.579943149753228,0.489993399534409,0.700727332622317,0.470844753785594,0.0740953543974718,0.164762115799264,7
"10",2,250,0.50100102590287,0.514473075270667,0.465631209341769,0.476710832013953,0.542186023396106,0.558732603413597,0.0507285783651329,0.291980416991507,7
"11",3,500,0.557308792982077,0.41498101780537,0.605384133097472,0.446103874614458,0.516307306477978,0.387917582450187,0.0788967772675935,0.12823834492587,4
"12",3,500,0.555401560656518,0.41340223539501,0.603240684858332,0.444330824969068,0.514592547886666,0.386499142733875,0.0772693754463867,0.12294649415283,4
"13",3,500,0.556127379582672,0.41340223539501,0.603991747366352,0.444330824969068,0.515292163325181,0.386499142733875,0.0849044870657149,0.122873950312084,4
"14",3,500,0.656708281963819,0.555898448279767,0.593309909082183,0.502774774758266,0.735276559289724,0.621574630538182,0.175024902672068,0.254159904778782,7
"15",3,500,0.555780156711875,0.413712380647281,0.604596297978651,0.444905806408466,0.514258078138272,0.386606463308591,0.0723363431522652,0.10838666786558,4
"16",4,750,0.559427282027033,0.554937514374132,0.50385236062648,0.501431893157095,0.628781937219278,0.621225826320253,0.160294465508136,0.261607870022379,7
"17",4,750,0.559227864344539,0.414519812263901,0.607816741890672,0.445585915861836,0.517832340880958,0.387503215448089,0.0765327416811609,0.113730278705198,4
"18",4,750,0.528053029011588,0.395087562868198,0.572570764775348,0.423649583153449,0.489958452311076,0.370133539355129,0.0941783471829536,0.110215889697621,4
"19",4,750,0.561484976681703,0.553304762629346,0.506836462306967,0.49989358365198,0.629342423921732,0.619494738754747,0.182351167719998,0.25567811179573,7
"20",4,750,0.553507040497563,0.414410819017848,0.60098188936102,0.445463510848126,0.512983653903677,0.387405291437122,0.0858049496141843,0.115366412361733,4
"21",5,1000,0.591959359733741,0.585581327269656,0.533248560391947,0.527508219851701,0.665197803626833,0.658022707174485,0.142082565660286,0.245798795528982,7
"22",5,1000,0.592885480225291,0.586089615244986,0.536945643937557,0.530504920675901,0.661836657474534,0.654685582446809,0.167173933894229,0.235147575723443,7
"23",5,1000,0.548142445821007,0.427157852233964,0.596473375573373,0.461472439209754,0.507056749239186,0.397593251914251,0.0656352994568962,0.274133088542434,4
"24",5,1000,0.551858263158777,0.428959343945993,0.600126770767017,0.463496361141546,0.51077626323938,0.399212389459685,0.0712526675797824,0.280077404263867,4
"25",5,1000,0.551858263158777,0.42823987951868,0.600126770767017,0.462788228683438,0.51077626323938,0.398491452511968,0.0715601981888516,0.27784638290104,4
"26",6,1250,0.529749093109433,0.523615025812944,0.578207165469867,0.572170103223516,0.488785244571016,0.48265621037434,0.283697178363873,0.33284195674301,4
"27",6,1250,0.540880601394914,0.541045576206537,0.59050698337846,0.591661404277577,0.498948796579311,0.498407493328017,0.0797083969684459,0.303945287970443,4
"28",6,1250,0.54224088821746,0.541045576206537,0.592036174269933,0.591661404277577,0.50017214929249,0.498407493328017,0.0792508898832176,0.304670340397546,4
"29",6,1250,0.591487534923645,0.585219450736301,0.533336910885136,0.527038052834422,0.663870451305891,0.657840550095776,0.180333909344573,0.251119434379145,7
"30",6,1250,0.544455620133057,0.546380113467322,0.594173446908958,0.597349602521991,0.50241568060409,0.503424853357156,0.0799822061654287,0.297051077900918,4
"31",7,1500,0.538176133680207,0.53428138093545,0.587520660990721,0.584369853121927,0.496478067254116,0.49210156073098,0.285062784768154,0.323009180907891,4
"32",7,1500,0.589239843732372,0.583964749167692,0.531790155731766,0.526690284221797,0.660605555668923,0.655215583039112,0.289500190816692,0.242656326968745,7
"33",7,1500,0.591588293198943,0.585167069035322,0.533228633033143,0.527364932204255,0.664292330990017,0.657199835103452,0.239367114158917,0.254278832014827,7
"34",7,1500,0.540038483939486,0.542013826239503,0.589097382854763,0.591920281201978,0.498522488327154,0.499868513362836,0.0750239194251524,0.306156673989858,4
"35",7,1500,0.479696904520063,0.471452964540173,0.459093727730355,0.449030776664327,0.50223622744983,0.496232135010147,0.147601950786693,0.0661919723929119,6
"36",8,1750,0.567009720693423,0.566576576012702,0.492601719931436,0.492321922886335,0.667896122845042,0.667208579913659,0.213357177963508,0.232127200867297,8
"37",8,1750,0.533559396976772,0.531669472419337,0.508416153297103,0.506686729964348,0.561318896151646,0.55924358815234,0.0807181172159187,0.0694637868029183,6
"38",8,1750,0.591773664821311,0.585151677243327,0.533104697068127,0.52729648026965,0.664952702388142,0.6572673320675,0.192232475669048,0.255169928956476,7
"39",8,1750,0.584993891287845,0.57827573976098,0.529018049737396,0.522614851209494,0.654217154666845,0.647206178469855,0.27776634436516,0.236434655086392,7
"40",8,1750,0.393344484839423,0.399971789394587,0.415708128571314,0.422841079792926,0.373264177275656,0.379449334422576,0.289673861296472,0.0627712597044706,4
"41",9,2000,0.503141511839617,0.50232607270631,0.508930025915466,0.506765019993061,0.497483192783387,0.497964215013051,0.0840906878242158,0.110844426200656,5
"42",9,2000,0.50489403486206,0.502255416651272,0.508936152125466,0.505600490662455,0.500915618979185,0.498954314022952,0.0722664908950129,0.29295817826153,5
"43",9,2000,0.497745387439474,0.495560947171344,0.499601066259015,0.496725993651997,0.495903442781115,0.494401353021393,0.0734252934166632,0.123077208405272,5
"44",9,2000,0.498828030674017,0.496191612386246,0.502705658607347,0.499478867018863,0.495009765134942,0.492947344114699,0.108910667979534,0.113126386034344,5
"45",9,2000,0.591487652027325,0.588368049034945,0.533691991483623,0.530663901967298,0.663321405157644,0.660152753927268,0.2801244578666,0.251900183085622,7
