month,tmax,tmin,af,rain,sun,season
5,15.7,7.7,0,9.1,138.7,1
6,17.8,9.7,0,88.6,135.0,2
7,23.2,14.4,0,92.9,218.6,2
8,24.1,14.4,0,26.0,241.7,2
9,21.4,11.5,0,43.7,183.0,3
10,14.6,7.6,0,18.5,87.1,3
11,10.6,4.2,5,59.3,59.2,3
12,8.3,1.7,12,12.0,60.7,0
1,7.5,2.0,11,12.6,56.0,0
2,9.5,2.3,8,17.7,50.3,0
3,11.8,4.9,0,38.5,61.8,1
4,14.0,5.6,1,57.1,129.7,1
5,21.0,10.2,0,94.5,271.9,1
6,22.5,12.3,0,22.5,213.7,2
7,22.5,14.2,0,62.3,158.6,2
8,21.7,13.6,0,84.7,149.2,2
9,18.9,11.0,0,77.3,127.5,3
10,12.5,5.3,3,59.4,112.6,3
11,12.0,4.8,2,86.9,61.6,3
12,7.8,1.6,12,35.9,49.1,0
1,10.3,3.5,4,63.1,37.8,0
2,7.2,2.5,2,2.4,51.0,0
3,11.8,3.3,4,16.0,128.4,1
4,14.6,6.8,0,75.3,126.9,1
5,18.0,8.8,0,31.8,176.6,1
6,21.8,12.2,0,43.9,224.2,2
7,21.6,12.6,0,35.0,174.6,2
8,21.6,11.7,0,23.8,219.4,2
9,17.5,9.8,0,96.3,104.5,3
10,13.0,7.0,1,123.0,117.0,3
11,8.8,2.4,11,29.5,71.3,3
12,9.2,3.6,3,73.8,52.4,0
1,9.3,2.8,6,80.0,73.4,0
2,7.7,1.2,8,42.6,72.0,0
3,12.3,5.1,1,40.0,126.4,1
4,13.3,5.1,1,52.8,175.0,1
5,16.0,8.2,0,80.6,158.3,1
6,21.5,11.2,0,17.0,265.0,2
7,26.2,15.2,0,16.9,267.1,2
8,23.0,13.8,0,32.2,180.9,2
9,17.8,10.8,0,86.3,109.7,3
10,15.4,7.7,0,76.0,141.0,3
11,13.6,8.4,0,43.1,42.7,3
12,10.7,4.0,6,63.3,60.8,0
1,8.9,2.2,6,113.7,59.6,0
2,10.7,4.4,1,71.9,70.9,0
3,11.2,2.0,7,49.5,194.5,1
4,15.0,6.1,3,16.9,199.5,1
5,19.0,8.2,0,30.0,234.4,1
6,20.7,10.8,0,11.1,187.7,2
7,26.3,15.2,0,20.3,247.1,2
8,27.0,15.6,0,0.3,295.3,2
9,19.2,10.7,0,95.0,142.4,3
10,18.3,10.2,0,19.2,129.9,3
11,12.0,5.1,4,28.5,76.2,3
12,5.8,1.0,13,82.8,44.7,0
1,7.2,3.1,5,41.5,25.3,0
2,6.8,0.1,17,49.0,100.3,0
3,8.6,2.1,9,31.4,75.9,1
4,14.3,5.5,3,25.0,147.5,1
5,15.1,5.9,0,25.8,182.6,1
6,22.8,11.3,0,12.0,282.7,2
7,24.2,13.2,0,28.8,233.7,2
8,23.1,13.4,0,45.8,217.6,2
9,19.2,10.7,0,22.0,142.0,3
10,16.6,8.9,0,35.4,142.3,3
11,10.5,2.7,9,91.0,107.5,3
12,6.2,1.4,11,13.0,57.6,0
1,5.5,0.2,13,10.3,59.3,0
2,10.8,4.0,4,55.1,58.1,0
3,13.8,5.3,0,11.4,151.0,1
4,15.6,5.4,1,9.8,218.5,1
5,18.7,8.5,1,28.2,259.2,1
6,20.2,12.2,0,78.6,151.6,2
7,23.5,13.9,0,34.6,241.1,2
8,25.8,16.6,0,70.5,194.2,2
9,20.9,11.8,0,6.8,190.3,3
10,15.9,7.5,3,44.9,166.0,3
11,12.5,6.2,2,47.1,67.3,3
12,9.5,4.2,4,47.4,48.0,0
1,9.2,3.5,3,68.6,65.2,0
2,11.6,3.5,5,6.6,113.1,0
3,12.1,5.7,1,51.1,84.9,1
4,12.7,5.7,0,82.6,115.4,1
5,19.6,10.2,0,31.9,228.2,1
6,19.9,12.0,0,89.6,158.4,2
7,21.4,13.0,0,26.9,184.3,2
8,23.5,12.7,0,16.6,262.6,2
9,20.4,12.7,0,101.2,149.1,3
10,14.7,8.6,0,103.8,96.7,3
11,9.6,3.4,4,57.0,78.5,3
12,9.7,3.8,7,49.2,42.4,0
1,9.4,3.8,3,68.7,53.7,0
2,8.8,2.8,7,21.1,90.1,0
3,12.2,5.0,2,25.6,122.5,1
4,14.9,6.3,1,35.0,167.8,1
5,19.1,10.2,0,35.8,184.9,1
6,20.3,11.0,0,98.2,239.1,2
7,24.9,14.3,0,8.6,275.9,2
8,22.8,14.0,0,124.8,199.8,2
9,21.3,13.2,0,86.7,165.0,3
10,15.6,7.9,0,49.2,160.5,3
11,11.3,5.9,0,31.2,79.0,3
12,8.7,2.4,7,77.2,75.3,0
1,8.6,2.4,7,16.5,78.6,0
2,10.4,3.8,5,62.2,102.5,0
3,12.1,4.9,1,16.0,120.4,1
4,12.9,5.4,0,99.6,135.8,1
5,18.0,9.6,0,87.2,202.9,1
6,21.0,12.8,0,19.2,169.5,2
7,21.0,12.8,0,52.8,174.7,2
8,23.2,14.0,0,32.3,211.4,2
9,20.1,12.5,0,105.8,132.1,3
10,14.7,8.5,0,155.4,98.0,3
11,11.0,4.5,1,99.5,74.9,3
12,9.0,4.6,5,73.9,50.0,0
1,7.1,1.8,9,75.2,87.0,0
2,9.2,2.8,5,69.6,92.3,0
3,9.5,3.8,3,95.3,78.2,1
4,12.8,5.4,0,66.5,138.5,1
5,18.8,9.1,0,26.0,228.0,1
6,20.8,11.3,0,39.1,248.0,2
7,24.3,14.5,0,35.2,229.1,2
8,23.5,14.5,0,79.0,210.9,2
9,18.1,10.8,0,59.6,143.3,3
10,17.6,11.3,0,108.2,109.9,3
11,11.3,4.4,3,33.8,88.3,3
12,7.3,1.4,11,17.8,93.3,0
1,9.5,3.5,6,51.0,53.4,0
2,11.3,4.8,2,64.0,91.4,0
3,12.4,5.1,2,37.6,111.3,1
4,15.7,6.1,0,38.4,220.5,1
5,17.3,9.4,0,66.4,192.2,1
6,20.1,11.6,0,74.2,191.5,2
7,22.3,13.5,0,67.2,193.9,2
8,23.3,14.7,0,36.3,190.4,2
9,20.3,11.5,0,20.0,178.2,3
10,15.3,8.4,0,61.6,109.2,3
11,12.4,7.0,0,151.0,66.1,3
12,9.0,5.2,0,119.0,34.1,0
1,8.0,2.3,10,73.6,93.6,0
2,8.4,1.8,10,20.8,101.2,0
3,13.6,4.4,0,16.4,176.9,1
4,15.7,6.3,3,30.0,198.0,1
5,18.2,9.0,0,39.1,205.5,1
6,23.3,13.3,0,47.6,245.5,2
7,24.2,14.7,0,28.8,213.9,2
8,26.4,15.7,0,10.4,255.3,2
9,21.9,10.8,0,8.4,206.7,3
10,14.5,6.4,0,35.2,160.7,3
11,12.6,6.7,1,113.8,88.2,3
12,8.8,3.2,3,51.4,58.0,0
1,8.8,3.1,8,71.9,64.0,0
2,8.7,3.8,7,26.2,65.3,0
3,10.8,3.9,3,29.5,102.7,1
4,14.9,6.3,0,68.8,155.0,1
5,18.2,9.5,0,45.0,208.2,1
6,22.1,12.6,0,40.4,236.0,2
7,22.7,13.3,0,37.6,201.5,2
8,23.8,15.1,0,107.8,213.3,2
9,20.8,12.5,0,18.8,182.7,3
10,15.3,9.1,0,96.6,101.2,3
11,11.2,6.2,2,29.6,60.8,3
12,8.8,2.9,5,46.4,48.2,0
1,9.5,3.8,1,21.6,72.1,0
2,7.3,2.5,7,19.7,62.4,0
3,11.5,4.5,7,43.6,96.7,1
4,14.6,6.2,1,30.0,153.0,1
5,17.7,8.5,0,19.8,228.3,1
6,22.8,12.9,0,32.6,219.3,2
7,23.3,14.1,0,45.8,202.5,2
8,23.2,13.0,0,42.4,250.4,2
9,21.4,12.7,0,47.5,143.9#,3
10,17.8,11.3,0,73.4,89.9#,3
11,10.7,3.5,8,29.2,93.3#,3
12,8.2,1.9,8,44.4,65.7#,0
1,7.6,2.9,6,16.8,51.4#,0
2,7.2,1.7,5,41.2,62.9#,0
3,9.4,2.8,10,44.6,91.2#,1
4,14.1,6.0,0,33.4,132.3#,1
5,18.0,9.8,0,91.6,128.2#,1
6,23.7,12.9,0,11.8,225.3#,2
7,28.2,16.7,0,23.6,266.4#,2
8,22.2,13.5,0,68.8,140.2#,2
9,22.7,14.5,0,78.2,153.9#,3
10,17.8,11.2,0,64.4,106.3#,3
11,12.7,5.4,2,98.0,97.0#,3
12,9.7,4.5,5,63.6,41.2#,0
1,10.5,5.1,2,56.0,56.6#,0
2,9.9,3.9,5,92.9,59.3#,0
3,12.5,4.4,2,43.8,164.7#,1
4,18.9,7.7,0,3.6,224.6#,1
5,17.9,9.7,0,80.0,149.6#,1
6,21.2,12.6,0,63.8,139.7#,2
7,21.4,13.1,0,115.2,159.9#,2
8,21.5,12.9,0,41.0,192.6#,2
9,19.9,11.4,0,17.4,141.1#,3
10,15.4,8.5,0,37.8,98.4#,3
11,11.4,4.6,3,84.8,81.3#,3
12,8.9,3.1,9,44.6,61.4#,0
1,10.4,4.7,0,69.0,60.2#,0
2,11.0,2.0,7,15.4,130.0#,0
3,10.6,3.7,2,69.8,85.7#,1
4,13.7,5.2,2,63.4,140.3#,1
5,19.8,10.5,0,64.2,162.6#,1
6,20.8,11.9,0,45.6,201.9#,2
7,22.8,13.7,0,76.8,172.5#,2
8,21.5,14.2,0,64.4,104.3#,2
9,18.5,11.2,0,43.0,110.7#,3
10,15.0,6.8,1,45.0,134.4#,3
11,10.7,5.2,2,58.8,42.2#,3
12,7.3,1.7,11,41.2,65.1#,0
1,6.8,0.3,13,72.4,63.2#,0
2,7.8,2.1,10,69.6,59.2#,0
3,12.9,3.7,2,30.0,158.5#,1
4,16.1,7.2,0,28.0,172.8#,1
5,19.1,9.4,0,29.8,193.9#,1
6,22.4,12.2,0,34.0,192.8#,2
7,23.0,13.7,0,71.4,155.8#,2
8,23.9,14.1,0,39.6,167.6#,2
9,20.5,12.0,0,36.0,137.3#,3
10,16.3,9.3,0,39.4,84.7#,3
11,12.6,7.4,0,148.0,62.4#,3
12,7.0,1.3,12,84.6,60.3#,0
1,4.5,-0.3,15,51.8,51.3#,0
2,6.9,1.7,8,100.4,46.7#,0
3,11.1,3.7,4,39.8,106.4#,1
4,15.8,5.6,0,23.2,201.7#,1
5,17.3,7.7,0,20.6,170.4#,1
6,23.5,12.1,0,12.4,220.1#,2
7,25.0,15.1,0,18.0,161.8#,2
8,21.6,13.2,0,88.6,110.9#,2
9,19.4,11.2,0,38.2,128.7#,3
10,15.2,8.3,1,74.8,104.0#,3
11,9.1,4.0,7,32.2,50.0#,3
12,3.9,-1.5,21,21.4,18.5#,0
1,7.4,2.8,8,76.8,35.6#,0
2,10.2,4.8,1,42.8,36.2#,0
3,12.3,3.8,4,14.6,126.4#,1
4,19.7,8.6,0,2.4,218.0#,1
5,19.4,9.4,0,24.6,218.0#,1
6,20.7,11.0,0,84.0,173.5#,2
7,21.7,12.6,0,49.8,173.6#,2
8,21.8,13.4,0,68.8,144.1#,2
9,21.3,12.4,0,35.0,161.2#,3
10,18.1,10.1,0,18.4,140.4#,3
11,13.6,7.3,0,29.0,52.5#,3
12,9.9,3.8,4,63.0,60.6#,0
1,9.8,3.4,7,34.4,68.5#,0
2,8.0,1.3,12,16.8,84.9#,0
3,14.7,4.7,0,16.2,180.3#,1
4,13.3,4.9,1,98.4,141.7#,1
5,18.2,9.7,0,25.4,166.6#,1
6,19.4,11.6,0,110.8,118.5#,2
7,21.3,13.2,0,71.8,161.6#,2
8,23.5,14.3,0,36.4,182.6#,2
9,20.0,10.3,0,41.2,178.9#,3
10,14.2,8.0,0,88.4,85.6#,3
11,11.0,4.6,1,71.8,75.4#,3
12,9.0,2.6,10,95.8,58.0#,0
1,6.5,2.0,13,50.1,34.5#,0
2,6.7,1.2,4,32.8,64.9#,0
3,6.9,1.2,11,52.8,62.3#,1
4,13.5,4.7,3,34.0,162.8#,1
5,16.4,7.7,0,41.8,163.3#,1
6,20.3,11.2,0,11.6,157.5#,2
7,27.0,15.2,0,25.2,268.2#,2
8,24.3,14.3,0,32.6,198.7#,2
9,19.7,11.1,0,49.6,118.9#,3
10,17.0,10.6,0,81.4,89.6#,3
11,10.4,4.7,1,50.0,80.4#,3
12,10.2,3.5,3,98.2,51.3#,0
1,10.0,3.8,1,162.4,68.3#,0
2,10.6,4.4,0,89.8,91.7#,0
3,14.1,4.4,1,27.8,161.4#,1
4,16.1,7.5,0,58.0,156.9#,1
5,18.0,9.8,0,84.6,178.8#,1
6,22.1,12.5,0,40.8,220.2#,2
7,25.8,15.0,0,50.0,246.4#,2
8,21.7,12.7,0,97.6,183.6#,2
9,21.5,12.8,0,10.8,134.6#,3
10,17.6,11.0,0,76.0,103.8#,3
11,12.5,6.9,1,128.4,51.1#,3
12,9.2,3.0,7,37.8,71.6#,0
1,8.8,1.6,10,63.4,62.0#,0
2,8.0,1.8,8,38.6,63.9#,0
3,11.6,4.1,1,24.0,140.7#,1
4,16.3,6.0,0,16.2,212.1#,1
5,17.6,8.8,0,41.6,189.0#,1
6,22.2,11.4,0,12.2,197.0#,2
7,23.7,13.8,0,71.8,189.7#,2
8,22.2,14.1,0,116.8,134.1#,2
9,18.6,10.2,0,50.0,162.3#,3
10,15.8,9.3,0,39.8,94.2#,3
11,13.4,8.0,2,48.2,27.7#,3
12,13.7,8.9,0,39.4,35.0#,0
1,9.5,3.0,5,74.8,54.8#,0
2,9.4,2.9,5,43.8,86.8#,0
3,10.7,3.2,3,72.8,123.3#,1
4,13.5,4.9,0,47.2,170.0#,1
5,19.0,9.7,0,60.4,192.7#,1
6,20.7,12.7,0,93.4,101.7#,2
7,24.0,14.5,0,16.0,182.8#,2
8,24.7,14.6,0,21.6,201.4#,2
9,22.4,13.7,0,42.2,122.1#,3
10,15.9,8.7,0,21.6,105.6#,3
11,10.5,3.8,3,86.4,77.4#,3
12,10.2,3.4,7,10.4,55.1#,0
1,7.6,0.7,15,60.2,64.5#,0
2,10.0,4.4,1,38.2,47.8#,0
3,14.1,6.6,0,25.8,116.3#,1
4,15.8,5.9,0,4.6,186.2#,1
5,19.8,10.4,0,64.8,164.8#,1
6,24.0,13.9,0,46.4,204.3#,2
7,23.8,14.9,0,90.0,178.0#,2
8,22.0,13.5,0,58.6,174.9#,2
9,19.2,11.0,0,59.0,120.1#,3
10,17.1,10.3,0,9.2,84.6#,3
11,11.1,4.5,2,34.2,66.7#,3
12,8.7,2.9,7,81.2,43.8#,0
1,9.7,3.8,1,58.0,46.5#,0
2,6.7,0.6,12,29.0,92.0#,0
3,9.8,3.0,6,81.2,70.3#,1
4,15.5,7.9,0,65.2,113.4#,1
5,20.8,9.8,0,58.4,248.3#,1
6,24.2,13.1,0,0.4,234.5#,2
7,28.3,16.4,0,14.8,272.5#,2
8,24.5,14.5,0,48.2,182.1#,2
9,20.9,11.0,0,29.4,195.0#,3
10,16.5,8.5,1,61.0,137.0#,3
11,12.2,5.8,1,73.8,72.9#,3
12,10.7,5.2,2,60.6,40.3#,0
1,7.6,2.0,9,33.2,56.4#,0
2,12.4,3.3,3,34.2,120.2#,0
3,13.1,5.8,0,49.6,119.0#,1
4,15.8,5.7,1,12.8,170.1#,1
5,18.6,8.4,0,36.0,176.3#,1
6,21.8,11.9,0,81.8,170.1#,2
7,25.5,14.9,0,50.8,194.5#,2
8,25.2,14.1,0,33.6,201.2#,2
9,21.2,11.8,0,63.0,156.8#,3
10,15.5,8.6,0,92.8,74.0#,3
11,10.3,4.3,3,74.8,51.3#,3
12,10.2,4.0,3,89.6,56.2#,0
1,10.1,4.7,4,47.6,50.3#,0
2,11.1,4.3,1,99.8,62.0#,0
3,12.0,3.9,1,42.8,148.0#,1
4,18.2,6.5,1,38.2,235.4#,1
5,21.1,9.1,0,2.0,308.6#,1
6,22.5,12.6,0,54.0,174.9#,2
7,23.8,13.4,0,35.2,171.2#,2
8,25.6,15.6,0,58.2,161.8#,2
9,21.6,11.2,0,20.0,168.9#,3
10,15.1,8.8,0,142.2,51.6#,3
11,12.7,6.2,2,50.2,44.6#,3
12,8.5,3.5,7,72.4,36.5#,0
1,7.0,1.3,12,96.6,29.4#,0
2,9.1,3.1,7,36.4,57.9#,0
3,12.1,4.1,1,24.6,91.4#,1
4,13.1,2.9,5,7.2,202.6#,1
5,16.5,7.2,0,84.6,131.9#,1
6,22.5,13.3,0,88.2,159.6#,2
7,24.2,14.9,0,61.2,171.1#,2
8,21.9,13.4,0,42.2,95.6#,2
9,22.3,13.3,0,52.4,124.0#,3
10,16.9,9.7,0,87.6,84.2#,3
11,11.4,4.5,3,10.2,67.8#,3
12,10.1,5.3,3,71.2,21.1#,0
1,8.9,1.9,9,17.2,67.1#,0
2,11.3,4.0,3,49.6,78.4#,0
3,13.2,4.9,1,31.4,157.2#,1
4,16.1,5.7,1,16.4,167.2#,1
5,20.2,10.1,0,34.2,155.3#,1
6,23.2,11.9,0,24.0,212.2#,2
7,27.2,15.5,0,7.6,221.1#,2
8,27.0,15.9,0,54.4,234.3#,2
9,20.2,11.8,0,86.0,119.1#,3
10,18.3,10.4,0,81.4,132.8#,3
11,13.2,7.6,0,123.8,69.9#,3
12,7.9,1.7,11,51.6,56.4#,0
1,9.0,2.5,10,59.0,68.2#,0
2,10.8,3.4,6,4.2,81.3#,0
3,11.5,5.2,1,92.4,60.2#,1
4,14.6,5.9,0,65.8,151.1#,1
5,18.6,9.3,0,38.4,196.6#,1
6,25.3,13.5,0,56.8,250.2#,2
7,22.9,14.0,0,61.4,150.1#,2
8,23.0,13.8,0,53.0,171.1#,2
9,24.4,14.7,0,59.4,167.9#,3
10,18.1,10.2,0,116.8,112.9#,3
11,11.8,5.4,3,78.4,74.9#,3
12,10.9,5.9,3,76.4,21.0#,0
1,8.4,2.5,8,50.6,71.4#,0
2,12.2,6.0,2,100.4,48.6#,0
3,13.1,5.9,0,85.0,94.9#,1
4,15.0,7.2,0,68.6,126.3#,1
5,19.6,10.6,0,54.4,164.2#,1
6,22.0,11.1,0,12.4,205.7#,2
7,23.5,13.8,0,83.6,178.2#,2
8,24.5,14.6,0,28.4,188.6#,2
9,20.1,11.9,0,114.8,121.9#,3
10,16.4,9.4,0,57.2,80.6#,3
11,11.2,6.0,4,62.2,52.7#,3
12,9.9,5.2,0,27.2,20.5#,0
